Interval	Tree	Length
(0, 0.3688858578447764)	((0:8.72670,2:8.72670)3:193.66654,1:202.39324)4;	413.51319034354844
(0.3688858578447764, 2.8676942013040034)	((0:8.72670,2:8.72670)3:193.66654,1:202.39324)4;	413.51319034354844
(2.8676942013040034, 12.037519802144283)	((0:8.72670,2:8.72670)3:445.36728,1:454.09398)4;	916.9146699894867
(12.037519802144283, 15.685654150290967)	((0:8.72670,2:8.72670)3:501.89218,1:510.61888)4;	1029.9644744656532
(15.685654150290967, 15.950779988207403)	((0:8.72670,2:8.72670)3:398.72284,1:407.44955)4;	823.6257994703797
(15.950779988207403, 29.621734651327863)	((0:8.72670,2:8.72670)3:359.18842,1:367.91513)4;	744.5569547718759
(29.621734651327863, 35.807246930443725)	((0:8.72670,2:8.72670)3:433.33745,1:442.06415)4;	892.8550071416734
(35.807246930443725, 43.61801201491365)	((0:8.72670,2:8.72670)3:329.31222,1:338.03892)4;	684.8045492607357
(43.61801201491365, 45.03984673319248)	((0:8.72670,2:8.72670)3:302.82571,1:311.55241)4;	631.8315259378475
(45.03984673319248, 50.22026814293099)	((1:214.01196,2:214.01196)3:97.54046,0:311.55241)4;	837.1167768168809
(50.22026814293099, 57.163109564291254)	((0:160.78282,2:160.78282)3:150.76959,1:311.55241)4;	783.8876395079978
(57.163109564291254, 59.05779642721726)	((0:160.78282,2:160.78282)3:150.76959,1:311.55241)4;	783.8876395079978
(59.05779642721726, 100)	((0:160.78282,2:160.78282)3:765.20892,1:925.99173)4;	2012.766284296034
